source,q,safe_region,risky_region,clarify,refuse,safe_alt,high_level,direct_help,unsafe_detail,entropy_bits
S5,0.0,0.5302948536128929,0.10877532318747357,0.3599979909977163,0.03609298231996335,0.03609298231996335,0.09811089797524997,0.07268234086751023,0.03609298231996335,3.382647982984076
S5,0.1,0.5588649015645221,0.08796501044053094,0.38930561723350143,0.03531700879949469,0.03531700879949469,0.09892526673203131,0.06307753497503604,0.024887475465494902,3.2883199980708477
S5,0.2,0.5855623855183407,0.07137884212941761,0.41793114223475325,0.03430587723522417,0.03430587723522417,0.09901948881313913,0.05434304766073303,0.01703579446868459,3.1877462593345296
S5,0.3,0.610673822867918,0.058122455545756034,0.44592401436559237,0.03312037215863258,0.03312037215863258,0.0985090641850605,0.04653238706284037,0.01159006848291566,3.0832960383990624
S5,0.4,0.6344250792701941,0.04748103722919328,0.4733151649812068,0.031809388350061266,0.031809388350061266,0.09749113758886473,0.03963693863722866,0.007844098591964615,2.976444904453433
S5,0.5,0.6569850140885106,0.03889523878730859,0.5001141817572512,0.030411974712418088,0.030411974712418088,0.09604688290642331,0.03361043001341649,0.005284808773892108,2.8681247604595432
S5,0.6,0.6784744450076883,0.03193216309532056,0.5263112402366013,0.028959339189699125,0.028959339189699125,0.09424452639168869,0.02838590585358341,0.003546257241737158,2.758961305608607
S5,0.7,0.6989765040009912,0.026258013403694394,0.5518812245885669,0.027476548259531455,0.027476548259531455,0.09214218289336132,0.02388696350975639,0.0023710498939380053,2.6494228242927482
S5,0.8,0.7185464041022207,0.021614978093234535,0.5767884979062412,0.025983861780454462,0.025983861780454462,0.08979018263507071,0.020034897831120092,0.0015800802621144423,2.53990611517432
S5,0.9,0.737219788546891,0.017802837377400325,0.6009914827120878,0.024497737407570882,0.024497737407570882,0.08723283101966145,0.016753057226055662,0.0010497801513446635,2.430781070472392
S5,1.0,0.7550194512334184,0.014664846632320086,0.6244466469724028,0.023031570213426156,0.023031570213426156,0.08450966383416325,0.013969353475767205,0.0006954931565528796,2.3224097799097887
S6,0.0,0.5091212658327356,0.12617352695326814,0.03647052072139963,0.19963771177783826,0.16344953410663463,0.10956349922686312,0.03647052072139963,0.08970300623186851,3.643439807701048
S6,0.1,0.5604358768938369,0.08133941500380698,0.03728441357748555,0.22555755806115904,0.18101418036659334,0.11657972488859901,0.02789856831856403,0.05344084668524295,3.5597834744021783
S6,0.2,0.6038780628430284,0.05200824495154818,0.03727739125760165,0.24923270303186865,0.19605338809379433,0.12131458045976376,0.02087155047495056,0.031136694476597625,3.4515981171489885
S6,0.3,0.6412679665800173,0.03323867211729122,0.0366992740078773,0.2711729944342328,0.20908836738561687,0.12430733075229025,0.0153752177018638,0.017863454415427422,3.336204790373251
S6,0.4,0.6741273322161992,0.02134013333545258,0.03573722397458247,0.29183624317992657,0.22056508776290787,0.12598877729878233,0.011203125859138137,0.010137007476314443,3.2215747806643447
