source,q,safe_region,risky_region,clarify,refuse,safe_alt,high_level,direct_help,unsafe_detail,entropy_bits
S5,0.0,0.5302948536128929,0.10877532318747357,0.3599979909977163,0.03609298231996335,0.03609298231996335,0.09811089797524997,0.07268234086751023,0.03609298231996335,3.382647982984076
S5,0.5,0.6569850140885106,0.03889523878730859,0.5001141817572512,0.030411974712418088,0.030411974712418088,0.09604688290642331,0.03361043001341649,0.005284808773892108,2.8681247604595432
S5,1.0,0.7550194512334184,0.014664846632320086,0.6244466469724028,0.023031570213426156,0.023031570213426156,0.08450966383416325,0.013969353475767205,0.0006954931565528796,2.3224097799097887
S6,0.0,0.5091212658327356,0.12617352695326814,0.03647052072139963,0.19963771177783826,0.16344953410663463,0.10956349922686312,0.03647052072139963,0.08970300623186851,3.643439807701048
S6,0.5,0.7035570245963074,0.013804118913869939,0.0345215878879906,0.31155779671101647,0.23080769259897163,0.12666994739832874,0.008097738816341309,0.005706380097528631,3.1105640355450372
S6,1.0,0.8175624749690111,0.0017823024064722607,0.026950592286913586,0.40101758305570107,0.2688101247349985,0.12078417489139799,0.0014829083700533578,0.00029939403641890297,2.610517402905358
S13,0.0,0.48577175135684464,0.08570470810719255,0.042852354053596275,0.17377486473735987,0.17377486473735987,0.09536966782852863,0.042852354053596275,0.042852354053596275,3.732438673062936
S13,0.5,0.6169203440457443,0.03905799319305214,0.034402166276120354,0.23000925230788036,0.2541995365389934,0.0983093889227502,0.034402166276120354,0.004655826916931793,3.3619207461278293
S13,1.0,0.7257387569219702,0.0253472964580628,0.024891394661996705,0.2743822337193505,0.335131217054963,0.09133391148565996,0.024891394661996705,0.00045590179606609725,2.952423649011476
S4,0.0,0.18718084272838495,0.516652416977612,0.029616674029400318,0.029616674029400318,0.029616674029400318,0.098330820640184,0.4870357429482117,0.029616674029400318,2.939809547777787
S4,0.5,0.17940234113986528,0.5217807726960589,0.027038069974224758,0.023271882493954107,0.029881688616407578,0.09921070005527884,0.5165881138282276,0.00519265886783142,2.7941964239772545
S4,1.0,0.16923197455932903,0.5362147955639457,0.02411597877185233,0.017865556483761723,0.02945532298767254,0.09779511631604244,0.5353253218818587,0.0008894736820869796,2.700656152047916
